,open,high,low,close,volume,symbol,rsi,rsi_bullish,rsi_overbought,rsi_oversold,rsi_slope,rsi_acceleration
2026-05-29,432.545,450.33,432.36,450.24,79654376.0,MSFT,70.0923,True,True,False,17.144299999999994,12.369
2026-06-01,464.84,466.32,458.27,460.52,53628910.0,MSFT,73.3249,True,True,False,23.1757,6.031400000000005
2026-06-02,446.88,453.5,440.43,441.31,37036801.0,MSFT,60.2251,True,False,False,0.3429000000000002,-22.8328
2026-06-03,438.45,440.39,424.25,427.34,39037007.0,MSFT,52.8329,True,False,False,-17.259399999999992,-17.602299999999993
2026-06-04,435.81,436.15,426.41,428.05,26899511.0,MSFT,53.1477,True,False,False,-20.1772,-2.917800000000007
2026-06-05,428.34,429.47,414.4,416.67,34782164.0,MSFT,47.6581,False,False,False,-12.567,7.610199999999999
2026-06-08,414.14,417.1599,408.56,411.74,32086714.0,MSFT,45.4671,False,False,False,-7.3658,5.2012
2026-06-09,409.03,411.98,398.48,403.41,35317302.0,MSFT,41.9572,False,False,False,-11.1905,-3.8247
2026-06-10,398.55,405.04,397.16,397.36,32576041.0,MSFT,39.5681,False,False,False,-8.089999999999996,3.100500000000004
2026-06-11,395.205,396.85,384.0,390.34,47224135.0,MSFT,36.9397,False,False,False,-8.5274,-0.4374000000000038
2026-06-12,391.43,391.74,382.27,390.74,34922036.0,MSFT,37.1957,False,False,False,-4.761499999999998,3.765900000000002
2026-06-15,396.795,401.75,392.845,399.76,32266437.0,MSFT,42.8317,False,False,False,3.2635999999999967,8.025099999999995
2026-06-16,395.79,396.84,390.69,393.83,31506846.0,MSFT,40.273,False,False,False,3.3333000000000013,0.06970000000000454
2026-06-17,390.25,390.37,377.32,378.91,41987834.0,MSFT,34.6623,False,False,False,-2.5334000000000003,-5.866700000000002
2026-06-18,377.82,381.37,373.28,379.4,59714157.0,MSFT,34.9826,False,False,False,-7.8491,-5.3157
2026-06-22,375.74,381.63,367.07,367.34,45171106.0,MSFT,30.9591,False,False,False,-9.313900000000004,-1.4648000000000039
2026-06-23,372.38,377.22,370.67,373.94,40647605.0,MSFT,35.342,False,False,False,0.6796999999999969,9.9936
2026-06-24,371.57,378.88,364.78,365.46,44509854.0,MSFT,32.4882,False,False,False,-2.494399999999999,-3.1740999999999957
2026-06-25,362.77,364.23,349.2,352.83,66360473.0,MSFT,28.763,False,False,True,-2.1960999999999977,0.2983000000000011
2026-06-26,357.15,376.61,355.43,372.97,186201631.0,MSFT,40.4825,False,False,False,5.140500000000003,7.336600000000001
2026-06-29,377.5,380.5,359.9,368.57,51229885.0,MSFT,38.974,False,False,False,6.485799999999998,1.3452999999999946
2026-06-30,371.03,374.15,367.45,373.02,44945696.0,MSFT,41.3542,False,False,False,12.591199999999997,6.1053999999999995
2026-07-01,380.825,388.83,374.89,384.28,48065801.0,MSFT,46.9885,False,False,False,6.506,-6.085199999999997
2026-07-02,384.48,392.2,383.7,390.49,42194409.0,MSFT,49.8501,False,False,False,10.876100000000001,4.370100000000001
2026-07-06,387.04,389.15,381.22,386.74,34224543.0,MSFT,48.1595,False,False,False,6.805300000000003,-4.070799999999998
2026-07-07,392.49,395.57,388.22,388.84,29297524.0,MSFT,49.1985,False,False,False,2.210000000000001,-4.595300000000002
2026-07-08,384.03,385.31,381.33,383.34,25908255.0,MSFT,46.5661,False,False,False,-3.283999999999999,-5.494
2026-07-09,374.45,384.65,373.35,384.36,31083197.0,MSFT,47.131,False,False,False,-1.028500000000001,2.255499999999998
2026-07-10,387.8,391.91,381.5,385.1,24644605.0,MSFT,47.5642,False,False,False,-1.6343000000000032,-0.6058000000000021
2026-07-13,387.745,393.65,384.15,390.99,28914877.0,MSFT,51.0051,True,False,False,4.439,6.073300000000003
2026-07-14,382.82,388.19,378.65,384.93,27863916.0,MSFT,47.5479,False,False,False,0.41689999999999827,-4.022100000000002
2026-07-15,387.8,398.96,386.4,395.63,36253745.0,MSFT,53.5364,True,False,False,5.972200000000001,5.555300000000003
