,open,high,low,close,volume,symbol
2025-12-24,325.2,328.99,324.13,327.58,2842681.0,UNH
2025-12-26,327.2,331.89,326.2625,331.83,4359289.0,UNH
2025-12-29,330.89,334.25,328.28,328.94,4346789.0,UNH
2025-12-30,329.73,336.15,329.51,332.16,4432488.0,UNH
2025-12-31,332.32,333.33,329.88,330.11,4285205.0,UNH
2026-01-02,330.895,340.2578,327.5,336.4,6863568.0,UNH
2026-01-05,335.45,346.9399,333.85,342.02,7956616.0,UNH
2026-01-06,348.35,352.61,345.12,348.97,9441893.0,UNH
2026-01-07,348.98,350.11,338.04,341.7,7461438.0,UNH
2026-01-08,341.01,347.9,340.8,346.85,5059271.0,UNH
2026-01-09,347.25,349.055,342.48,343.98,4129132.0,UNH
2026-01-12,341.42,342.65,333.94,340.51,7146356.0,UNH
2026-01-13,341.5,341.8439,332.85,333.93,5605928.0,UNH
2026-01-14,335.37,340.11,334.1,334.96,5740921.0,UNH
2026-01-15,335.2,339.45,328.06,338.96,6943513.0,UNH
2026-01-16,334.86,336.2,330.43,331.02,8039139.0,UNH
2026-01-20,327.4,339.89,326.5031,338.43,7465931.0,UNH
2026-01-21,339.43,348.0799,338.69,347.75,8933337.0,UNH
2026-01-22,347.18,354.95,346.77,354.47,7491394.0,UNH
2026-01-23,354.275,357.87,352.99,356.26,9082197.0,UNH
2026-01-26,353.95,354.79,347.27,351.64,10399474.0,UNH
2026-01-27,293.97,299.5,280.4,282.7,65272266.0,UNH
2026-01-28,283.72,294.9399,283.72,294.02,23396870.0,UNH
2026-01-29,294.33,295.6,289.22,292.29,13456393.0,UNH
2026-01-30,292.1,292.95,284.7,286.93,12022204.0,UNH
2026-02-02,286.02,290.4,282.28,285.59,8664194.0,UNH
2026-02-03,284.7,288.09,278.6,284.18,10619718.0,UNH
2026-02-04,282.01,284.5,274.05,275.92,12944132.0,UNH
2026-02-05,274.285,276.8874,266.29,268.55,13035324.0,UNH
2026-02-06,267.06,277.81,266.405,276.65,9572782.0,UNH
2026-02-09,274.15,280.18,273.3218,275.7,10371567.0,UNH
2026-02-10,277.52,279.4899,272.65,273.22,7284704.0,UNH
2026-02-11,272.44,279.69,269.8,278.91,6333068.0,UNH
2026-02-12,278.16,286.31,275.81,284.37,12336891.0,UNH
2026-02-13,285.63,293.46,284.5115,293.19,10281936.0,UNH
2026-02-17,294.0,294.23,288.3449,289.09,6091749.0,UNH
2026-02-18,290.0,290.13,286.29,288.2,6632041.0,UNH
2026-02-19,290.89,290.89,286.89,289.93,4931832.0,UNH
2026-02-20,288.9,290.8,285.55,290.0,6974112.0,UNH
2026-02-23,288.55,291.77,281.67,282.34,7247495.0,UNH
2026-02-24,282.195,282.4,271.8,273.95,9684486.0,UNH
2026-02-25,277.285,284.74,276.87,284.2,11380563.0,UNH
2026-02-26,286.98,295.26,285.23,286.66,10210027.0,UNH
2026-02-27,284.7,294.13,283.85,293.27,9723340.0,UNH
2026-03-02,288.16,295.31,287.5,294.93,8141440.0,UNH
2026-03-03,288.99,293.74,284.3637,289.21,7051120.0,UNH
2026-03-04,289.01,294.34,287.6801,291.96,7796033.0,UNH
2026-03-05,290.05,291.39,286.74,288.77,5407721.0,UNH
2026-03-06,287.34,291.325,283.05,286.48,6816942.0,UNH
2026-03-09,282.0,285.2,278.66,285.17,10348846.0,UNH
2026-03-10,287.38,287.58,278.9,282.34,6075603.0,UNH
2026-03-11,282.38,286.22,280.6,285.25,6878812.0,UNH
2026-03-12,284.775,287.56,276.29,277.05,10512299.0,UNH
2026-03-13,278.06,282.88,277.81,282.09,4737558.0,UNH
2026-03-16,283.98,287.3999,281.04,285.49,4853972.0,UNH
2026-03-17,287.8,288.99,284.84,287.57,5752046.0,UNH
2026-03-18,285.2,288.4,283.07,284.33,4544057.0,UNH
2026-03-19,284.0,287.545,280.07,280.44,5542062.0,UNH
2026-03-20,278.99,283.1,275.0,275.59,38893036.0,UNH
2026-03-23,279.14,280.745,269.0918,269.54,10424151.0,UNH
2026-03-24,268.87,273.38,267.59,272.28,5911688.0,UNH
2026-03-25,275.0,276.08,267.1141,270.55,8121164.0,UNH
