,open,high,low,close,volume,symbol
2025-12-12,115.26,116.95,115.02,116.7,19092414.0,WMT
2025-12-15,116.925,117.45,115.64,116.79,18713743.0,WMT
2025-12-16,116.575,116.88,114.95,115.42,19642346.0,WMT
2025-12-17,115.2,116.3897,115.07,115.66,16177750.0,WMT
2025-12-18,115.01,116.48,114.61,114.83,21476675.0,WMT
2025-12-19,115.135,115.28,113.525,114.36,50043755.0,WMT
2025-12-22,114.01,114.32,112.22,112.6,21473912.0,WMT
2025-12-23,111.99,112.349,110.7,110.9,20319917.0,WMT
2025-12-24,110.9,111.71,110.55,111.61,9009629.0,WMT
2025-12-26,111.72,111.97,111.36,111.74,9003791.0,WMT
2025-12-29,111.59,112.78,111.57,112.53,12979573.0,WMT
2025-12-30,111.89,112.69,111.835,111.92,11730590.0,WMT
2025-12-31,111.73,112.25,111.315,111.41,11487434.0,WMT
2026-01-02,111.425,112.79,111.12,112.76,14306560.0,WMT
2026-01-05,112.82,113.73,112.1483,112.71,19557620.0,WMT
2026-01-06,112.4,114.79,111.99,114.34,20120817.0,WMT
2026-01-07,114.185,114.73,112.1,112.72,23306003.0,WMT
2026-01-08,111.29,113.47,109.8124,113.07,24058262.0,WMT
2026-01-09,112.255,115.455,112.255,114.53,21902859.0,WMT
2026-01-12,117.5,118.84,116.4115,117.97,49182081.0,WMT
2026-01-13,117.89,120.51,117.73,120.36,31222058.0,WMT
2026-01-14,120.19,121.24,119.03,120.04,32764044.0,WMT
2026-01-15,119.98,120.87,118.73,119.2,34559430.0,WMT
2026-01-16,118.67,120.6,116.9,119.7,415144621.0,WMT
2026-01-20,120.89,121.62,117.61,118.71,45070139.0,WMT
2026-01-21,118.075,120.49,117.545,119.36,34811697.0,WMT
2026-01-22,119.29,119.52,117.65,117.83,24547334.0,WMT
2026-01-23,118.17,118.61,117.1363,117.73,20806906.0,WMT
2026-01-26,117.81,118.85,117.39,117.64,19552228.0,WMT
2026-01-27,117.5,117.63,115.48,116.94,22946461.0,WMT
2026-01-28,116.635,117.4567,115.865,116.57,16341996.0,WMT
2026-01-29,116.45,117.655,116.07,117.41,16381111.0,WMT
2026-01-30,116.905,119.41,116.6,119.14,22215386.0,WMT
2026-02-02,119.5,124.2,119.05,124.06,31210059.0,WMT
2026-02-03,123.65,128.165,123.65,127.71,31947487.0,WMT
2026-02-04,128.13,129.41,127.09,128.0,27531790.0,WMT
2026-02-05,128.58,129.6,126.56,126.94,30517793.0,WMT
2026-02-06,127.29,131.7,127.05,131.18,26593427.0,WMT
2026-02-09,131.42,131.7899,128.09,129.02,27197291.0,WMT
2026-02-10,128.94,129.34,126.39,126.7,24661953.0,WMT
2026-02-11,126.695,129.74,126.63,128.77,19232142.0,WMT
2026-02-12,129.38,134.49,129.31,133.64,33382692.0,WMT
2026-02-13,132.7,134.65,131.75,133.89,24131179.0,WMT
2026-02-17,133.11,134.69,128.16,128.85,37995927.0,WMT
2026-02-18,128.13,128.865,125.77,126.62,36484996.0,WMT
2026-02-19,128.5,130.1,124.4,124.87,42993256.0,WMT
2026-02-20,123.0,123.48,121.05,122.99,35150954.0,WMT
2026-02-23,123.52,126.8,122.96,125.81,25662807.0,WMT
2026-02-24,125.9,128.04,124.91,126.75,20161157.0,WMT
2026-02-25,126.605,127.4,125.42,125.75,17345742.0,WMT
2026-02-26,125.98,127.33,123.94,124.42,18638349.0,WMT
2026-02-27,125.515,128.6,125.145,127.95,29205470.0,WMT
2026-03-02,127.46,128.75,127.05,127.1,17091524.0,WMT
2026-03-03,126.52,128.3683,125.67,127.91,16480390.0,WMT
2026-03-04,127.11,128.17,126.2401,127.81,16434129.0,WMT
2026-03-05,125.38,125.6792,121.65,123.31,28604884.0,WMT
2026-03-06,122.495,124.185,121.62,123.8,21553049.0,WMT
2026-03-09,123.6885,124.505,122.5,124.34,19375938.0,WMT
2026-03-10,124.21,126.0988,123.35,125.12,18793641.0,WMT
2026-03-11,125.305,125.49,123.05,123.49,18176459.0,WMT
2026-03-12,122.295,125.39,122.28,125.33,21751580.0,WMT
2026-03-13,125.39,126.685,124.97,126.52,15194094.0,WMT
2026-03-16,126.76,126.98,124.83,125.99,20463183.0,WMT
2026-03-17,126.65,127.19,124.8601,125.08,19895029.0,WMT
2026-03-18,124.333,124.6099,121.83,121.98,19734864.0,WMT
2026-03-19,122.4,122.75,119.27,121.09,17927685.0,WMT
2026-03-20,120.63,121.3,118.02,119.02,57545642.0,WMT
2026-03-23,120.48,121.13,119.045,120.72,22181469.0,WMT
2026-03-24,120.625,124.11,120.49,122.05,17269594.0,WMT
2026-03-25,122.81,123.485,121.7784,123.06,16597269.0,WMT
