,open,high,low,close,volume,symbol
2026-02-13,50.29,51.21,49.925,50.39,19520579.0,SLB
2026-02-17,50.62,51.03,48.84,49.84,24436137.0,SLB
2026-02-18,50.81,51.635,50.505,51.59,16436426.0,SLB
2026-02-19,51.76,52.24,51.29,51.54,14326723.0,SLB
2026-02-20,51.43,51.69,50.48,50.85,12717503.0,SLB
2026-02-23,50.91,51.6864,50.0624,51.24,11727924.0,SLB
2026-02-24,51.465,52.33,51.21,51.85,12787533.0,SLB
2026-02-25,52.0,52.16,50.81,51.66,11308899.0,SLB
2026-02-26,51.31,52.19,50.59,51.49,12141260.0,SLB
2026-02-27,51.6,52.0,50.83,51.34,16691417.0,SLB
2026-03-02,52.45,52.45,49.44,51.27,20431269.0,SLB
2026-03-03,50.27,50.8,48.18,48.58,22659819.0,SLB
2026-03-04,48.645,49.38,47.48,47.89,19906703.0,SLB
2026-03-05,47.98,48.005,46.29,47.4,20286866.0,SLB
2026-03-06,47.41,47.66,46.4,46.9,13470409.0,SLB
2026-03-09,46.87,47.265,45.5,47.19,21100785.0,SLB
2026-03-10,47.125,48.52,46.7,48.11,18112680.0,SLB
2026-03-11,47.485,48.765,47.14,48.17,18387664.0,SLB
2026-03-12,47.31,47.31,44.42,44.56,25983124.0,SLB
2026-03-13,44.47,44.885,43.55,44.72,16897276.0,SLB
2026-03-16,44.56,45.01,44.3,44.96,12648472.0,SLB
2026-03-17,45.5,46.64,44.935,46.13,14766158.0,SLB
2026-03-18,45.89,46.32,45.19,45.32,13276982.0,SLB
2026-03-19,45.215,47.875,44.7,47.82,28157955.0,SLB
2026-03-20,48.01,48.48,46.38,46.63,65344816.0,SLB
2026-03-23,47.51,49.85,47.08,49.25,25770346.0,SLB
2026-03-24,49.03,51.085,48.84,50.51,19715007.0,SLB
2026-03-25,50.56,52.55,50.54,51.89,24105671.0,SLB
2026-03-26,51.55,52.69,51.482,52.31,16516135.0,SLB
