,open,high,low,close,volume,symbol,rsi,rsi_bullish,rsi_overbought,rsi_oversold,rsi_slope,rsi_acceleration
2026-01-20,252.73,254.79,243.42,246.7,77280987.0,AAPL,17.9103,False,False,True,-12.947300000000002,-5.677700000000005
2026-01-21,248.7,251.56,245.18,247.65,54641725.0,AAPL,20.5685,False,False,True,-7.870699999999999,5.076600000000003
2026-01-22,249.2,251.0,248.15,248.35,39708340.0,AAPL,22.5583,False,False,True,-2.6258000000000017,5.244899999999998
2026-01-23,247.32,249.41,244.68,248.04,41688982.0,AAPL,22.292,False,False,True,4.381700000000002,7.007500000000004
2026-01-26,251.48,256.56,249.8,255.41,55969234.0,AAPL,40.3292,False,False,False,19.7607,15.378999999999998
2026-01-27,259.17,261.95,258.21,258.27,48787855.0,AAPL,45.6056,False,False,False,23.047300000000003,3.2866000000000035
2026-01-28,257.65,258.855,254.51,256.44,41287971.0,AAPL,42.9864,False,False,False,20.6944,-2.3529000000000018
2026-01-29,258.0,259.65,254.41,258.28,67253009.0,AAPL,46.3244,False,False,False,5.995199999999997,-14.699200000000005
2026-01-30,255.165,261.8999,252.18,259.48,92443408.0,AAPL,48.4444,False,False,False,2.838799999999999,-3.156399999999998
2026-02-02,260.03,270.49,259.205,270.01,73913425.0,AAPL,62.457,True,False,False,19.470599999999997,16.6318
2026-02-03,269.2,271.875,267.61,269.48,63799388.0,AAPL,61.5502,True,False,False,15.2258,-4.244799999999998
2026-02-04,272.285,278.95,272.285,276.49,90545710.0,AAPL,68.139,True,False,False,19.694599999999994,4.4687999999999946
2026-02-05,278.13,279.5,273.23,275.91,52977441.0,AAPL,67.1143,True,False,False,4.657299999999999,-15.037299999999995
2026-02-06,277.12,280.905,276.925,278.12,50453414.0,AAPL,69.0258,True,False,False,7.475600000000007,2.818300000000008
2026-02-09,277.905,278.2,271.7,274.62,44623396.0,AAPL,63.2237,True,False,False,-4.915299999999995,-12.390900000000002
2026-02-10,274.885,275.37,272.94,273.68,34376898.0,AAPL,61.6042,True,False,False,-5.510100000000001,-0.5948000000000064
2026-02-11,274.695,280.18,274.45,275.5,51931283.0,AAPL,63.5509,True,False,False,-5.474900000000005,0.03519999999999612
2026-02-12,275.59,275.72,260.18,261.73,81077229.0,AAPL,44.9724,False,False,False,-18.2513,-12.776399999999995
2026-02-13,262.01,262.23,255.45,255.78,56290673.0,AAPL,39.5871,False,False,False,-22.0171,-3.7657999999999987
2026-02-17,258.05,266.29,255.54,263.88,58469094.0,AAPL,48.6091,False,False,False,-14.9418,7.075299999999999
2026-02-18,263.6,266.82,262.45,264.35,34203337.0,AAPL,49.0843,False,False,False,4.111899999999999,19.0537
2026-02-19,262.6,264.48,260.05,260.58,30845294.0,AAPL,45.454,False,False,False,5.866900000000001,1.7550000000000026
2026-02-20,258.97,264.75,258.16,264.58,42070499.0,AAPL,49.7044,False,False,False,1.0953000000000017,-4.771599999999999
2026-02-23,263.49,269.43,263.381,266.18,37308155.0,AAPL,51.3378,True,False,False,2.2535000000000025,1.1582000000000008
2026-02-24,267.86,274.89,267.71,272.14,47014619.0,AAPL,56.9469,True,False,False,11.492899999999999,9.239399999999996
2026-02-25,271.78,274.94,271.05,274.23,33714342.0,AAPL,58.7428,True,False,False,9.038400000000003,-2.454499999999996
2026-02-26,274.945,276.11,270.795,272.95,32345114.0,AAPL,57.1699,True,False,False,5.832099999999997,-3.206300000000006
2026-02-27,272.81,272.81,262.89,264.18,72366505.0,AAPL,47.7384,False,False,False,-9.2085,-15.040599999999998
2026-03-02,262.41,266.53,260.2,264.72,41827946.0,AAPL,48.3039,False,False,False,-10.438900000000004,-1.230400000000003
2026-03-03,263.48,265.56,260.13,263.75,38568921.0,AAPL,47.3135,False,False,False,-9.8564,0.5825000000000031
2026-03-04,264.65,266.15,261.42,262.52,39803119.0,AAPL,46.0249,False,False,False,-1.7134999999999962,8.142900000000004
2026-03-05,260.79,261.555,257.25,260.29,49658626.0,AAPL,43.7009,False,False,False,-4.6030000000000015,-2.8895000000000053
2026-03-06,258.63,258.77,254.37,257.46,41120042.0,AAPL,40.8798,False,False,False,-6.433699999999995,-1.830699999999993
2026-03-09,255.69,261.15,253.6805,259.88,38218533.0,AAPL,44.1972,False,False,False,-1.8277,4.6059999999999945
2026-03-10,257.645,262.48,256.95,260.83,30590765.0,AAPL,45.4903,False,False,False,1.7894000000000005,3.6171000000000006
2026-03-11,261.09,262.13,259.55,260.81,26218927.0,AAPL,45.4664,False,False,False,4.586599999999997,2.7971999999999966
2026-03-12,258.66,258.95,254.18,255.76,40794020.0,AAPL,39.7856,False,False,False,-4.4116,-8.998199999999997
2026-03-13,255.48,256.33,249.52,250.12,36929988.0,AAPL,34.5879,False,False,False,-10.9024,-6.4908
2026-03-16,252.105,253.885,249.88,252.82,32074209.0,AAPL,38.7156,False,False,False,-6.750799999999998,4.151600000000002
2026-03-17,252.955,255.13,252.18,254.23,32361607.0,AAPL,40.8159,False,False,False,1.0302999999999969,7.781099999999995
2026-03-18,252.625,254.94,249.0,249.94,35757874.0,AAPL,36.6952,False,False,False,2.107300000000002,1.0770000000000053
2026-03-19,249.4,251.83,247.3,248.96,34864082.0,AAPL,35.8059,False,False,False,-2.909700000000001,-5.017000000000003
2026-03-20,247.975,249.1999,246.0,247.99,88331081.0,AAPL,34.9042,False,False,False,-5.911699999999996,-3.0019999999999953
2026-03-23,253.97,254.6,250.28,251.49,40546109.0,AAPL,40.7063,False,False,False,4.011099999999999,9.922799999999995
2026-03-24,250.35,254.825,249.55,251.64,45152288.0,AAPL,40.9493,False,False,False,5.1434,1.1323000000000008
2026-03-25,254.095,255.0,251.6,252.62,28476668.0,AAPL,42.6037,False,False,False,7.6995000000000005,2.5561000000000007
2026-03-26,252.115,257.0,250.77,252.89,41796650.0,AAPL,43.0769,False,False,False,2.370600000000003,-5.328899999999997
2026-03-27,253.9,255.493,248.07,248.8,47899998.0,AAPL,37.9701,False,False,False,-2.9791999999999987,-5.349800000000002
