,open,high,low,close,volume,symbol
2026-07-02,203.05,206.18,200.76,204.13,733822.0,RGLD
2026-07-06,205.62,206.745,198.48,201.91,644911.0,RGLD
2026-07-07,201.68,202.42,194.9,196.61,773917.0,RGLD
2026-07-08,192.76,193.8789,187.53,191.93,875910.0,RGLD
2026-07-09,194.45,199.48,193.01,198.78,535859.0,RGLD
2026-07-10,197.79,199.21,195.14,196.83,472612.0,RGLD
2026-07-13,194.33,195.0,191.01,193.47,847836.0,RGLD
2026-07-14,197.66,200.1,192.31,193.51,854397.0,RGLD
2026-07-15,193.51,195.97,191.28,193.02,469817.0,RGLD
2026-07-16,191.36,192.0,187.894,191.175,748429.0,RGLD
2026-07-17,189.33,192.38,188.56,189.17,628548.0,RGLD
2026-07-20,188.09,189.55,186.325,187.36,556822.0,RGLD
2026-07-21,190.37,194.7299,189.625,194.01,528150.0,RGLD
2026-07-22,197.56,204.07,197.56,201.26,637178.0,RGLD
2026-07-23,197.65,200.295,196.0409,199.64,584458.0,RGLD
2026-07-24,201.95,203.75,199.3,200.96,639574.0,RGLD
2026-07-27,202.72,203.9799,199.4676,201.02,605001.0,RGLD
2026-07-28,199.21,200.37,195.71,196.16,748803.0,RGLD
2026-07-29,196.0,199.75,191.5501,195.48,1101006.0,RGLD
2026-07-30,198.0,203.88,198.0,203.04,490254.0,RGLD
2026-07-31,199.835,201.01,194.7801,198.35,854635.0,RGLD
2026-08-03,198.54,202.29,197.27,202.04,607816.0,RGLD
2026-08-04,206.206,207.72,203.6405,206.03,866960.0,RGLD
2026-08-05,214.5,217.5,212.9367,215.09,987183.0,RGLD
2026-08-06,215.09,219.295,213.04,218.11,801643.0,RGLD
2026-08-07,228.58,230.81,227.335,229.92,849201.0,RGLD
2026-08-10,228.54,235.14,227.99,234.13,772806.0,RGLD
2026-08-11,232.96,235.59,231.552,233.51,832422.0,RGLD
2026-08-12,238.18,238.235,232.5,232.87,792382.0,RGLD
2026-08-13,229.69,230.7537,225.28,225.98,810300.0,RGLD
2026-08-14,228.29,233.56,226.44,230.68,524102.0,RGLD
2026-08-17,232.6,236.79,230.91,236.62,669343.0,RGLD
2026-08-18,233.79,235.7796,229.85,230.43,720946.0,RGLD
2026-08-19,241.23,249.05,240.89,248.14,685636.0,RGLD
2026-08-20,246.4,254.31,246.2978,252.36,647312.0,RGLD
2026-08-21,257.98,259.95,255.05,259.01,885102.0,RGLD
2026-08-24,260.97,264.47,257.84,263.75,1072829.0,RGLD
2026-08-25,260.16,267.81,259.07,267.76,604479.0,RGLD
2026-08-26,264.0,267.93,263.14,266.14,579813.0,RGLD
2026-08-27,264.89,270.2353,264.68,268.96,719367.0,RGLD
2026-08-28,269.24,271.43,256.86,262.85,679150.0,RGLD
2026-08-31,262.72,263.41,257.201,261.47,683676.0,RGLD
2026-09-01,253.655,261.04,252.6,254.09,678794.0,RGLD
2026-09-02,259.77,261.27,255.32,258.38,604962.0,RGLD
2026-09-03,264.66,265.84,259.0701,264.85,494246.0,RGLD
2026-09-04,258.94,263.65,257.53,262.11,355607.0,RGLD
